四川电信,#genre#
爱谍战,http://yuzhe.ltd:5555/udp/239.93.42.14:5140
爱旅行,http://yuzhe.ltd:5555/udp/239.93.42.16:5140
爱幼教,http://yuzhe.ltd:5555/udp/239.93.42.17:5140
爱玩具,http://yuzhe.ltd:5555/udp/239.93.42.18:5140
爱体育,http://yuzhe.ltd:5555/udp/239.93.42.19:5140
爱赛车,http://yuzhe.ltd:5555/udp/239.93.42.20:5140
爱浪漫,http://yuzhe.ltd:5555/udp/239.93.42.21:5140
爱奇谈,http://yuzhe.ltd:5555/udp/239.93.42.22:5140
爱动漫,http://yuzhe.ltd:5555/udp/239.93.42.23:5140
生活时尚,http://yuzhe.ltd:5555/udp/239.93.42.29:5140
都市剧场,http://yuzhe.ltd:5555/udp/239.93.42.30:5140
环球旅游,http://yuzhe.ltd:5555/udp/239.93.42.31:5140
绚影4K,http://yuzhe.ltd:5555/udp/239.93.42.33:5140
4K乐享超清,http://yuzhe.ltd:5555/udp/239.93.0.43:5140
亲子趣学4K,http://yuzhe.ltd:5555/udp/239.93.1.191:5140
少儿天地,http://yuzhe.ltd:5555/udp/239.93.42.34:5140
百姓健康,http://yuzhe.ltd:5555/udp/239.93.42.35:5140
Bestv谍战剧场,http://yuzhe.ltd:5555/udp/239.93.0.95:5140
Bestv华语影院,http://yuzhe.ltd:5555/udp/239.93.0.138:5140
Bestv全球大片,http://yuzhe.ltd:5555/udp/239.93.0.105:5140
Bestv星光院线,http://yuzhe.ltd:5555/udp/239.93.0.139:5140
Bestv热门剧场,http://yuzhe.ltd:5555/udp/239.93.0.140:5140
Bestv热门综艺,http://yuzhe.ltd:5555/udp/239.93.0.151:5140
Bestv宝宝动画,http://yuzhe.ltd:5555/udp/239.93.0.147:5140
Bestv青春动漫,http://yuzhe.ltd:5555/udp/239.93.0.146:5140
Bestv戏曲精选,http://yuzhe.ltd:5555/udp/239.93.0.144:5140
Bestv美食,http://yuzhe.ltd:5555/udp/239.93.42.85:5140
Bestv健康科普,http://yuzhe.ltd:5555/udp/239.93.42.84:5140
Bestv4K,http://yuzhe.ltd:5555/udp/239.93.42.75:5140
Bestv直播室1,http://yuzhe.ltd:5555/udp/239.93.1.180:5140
Bestv直播室2,http://yuzhe.ltd:5555/udp/239.93.1.181:5140
Bestv直播室3,http://yuzhe.ltd:5555/udp/239.93.1.182:5140
Bestv直播室4,http://yuzhe.ltd:5555/udp/239.93.1.183:5140
Bestv直播室5,http://yuzhe.ltd:5555/udp/239.93.1.184:5140
